S_pareto,S_lognormal
131583.9544700362,491609.9345157814
204996.72488938703,427581.3635488043
137524.72632837,492398.8624027415
114533.60271798488,737242.2721002385
119845.74341906677,847437.5813049405
119431.44648424957,419403.7922509935
107339.79350452112,374214.5748466583
228856.57233065588,486757.83380407444
269236.72322993784,415888.93135122024
170963.14002706116,359756.5595197489
123086.1974656769,430007.3321607129
193033.03091639024,302283.7271397618
106376.13738098061,398767.9210073193
194717.55706220845,533127.960882974
163170.33675609983,408628.45037187554
77926.63980278446,173184.09401172947
96720.07454080602,253439.22418677586
156273.49947815295,250034.31091418737
140759.67319804535,409764.3337996236
115995.867957426,376101.6495432685
160187.5821002633,774593.5777383489
112938.5588705702,242413.2391012084
140828.8475615866,398269.6503665352
105829.28039566409,461049.94028170273
209933.8743552906,374345.2482303218
109906.65753522323,406653.2004567203
114662.21606331639,434842.1557335803
319848.7502281468,637182.1786083673
198815.5359081024,996970.7601604795
120305.2134934517,490206.91669340886
199357.46794222767,282502.81700987945
170319.4191256402,414214.0298941788
101361.00919244274,231650.62649485777
159565.22033200576,423722.29644130287
121791.64859843354,330025.09517824807
131292.15520896297,641727.8384418042
112531.3783666922,255114.38787801325
178164.18659102617,609826.8739891376
111345.62068108891,392686.112725743
127996.3927805105,471397.5261345679
109195.73628804312,193964.81273047003
173395.89957519632,463378.9779366354
154003.67452288215,272618.1289245303
208066.75332030896,485252.4342278625
182398.5603572679,951630.6324152744
93839.52546892098,651050.2966382327
128424.30855395511,472233.61928202014
92771.342939638,794150.3271069563
160874.94244834158,517172.4329207502
155023.3588216663,354876.59497245256
214993.4992641192,445628.95273665915
75542.7379561292,353446.86906312016
102733.5880787445,343738.3888113418
88089.1512024188,211019.13795089655
162133.25555519486,363669.45699627144
125113.27416147695,338703.7833507395
229571.8675839938,516760.862720474
126243.20773618676,445479.6040426771
160115.05982660525,277342.98866433045
182801.93600447962,525113.9572794277
128545.43128139,491919.8835270571
80971.29311658863,291751.5067540428
155860.07033496405,352825.3122430345
86847.70466003657,802030.315853701
148522.83132126956,732026.6443894672
94126.17670874,277055.16038724687
131702.67329104108,405126.09083582636
175729.30330399508,292200.3068592178
95527.76747222453,425272.1967105316
100743.35826012507,290401.4632395619
109076.52498578177,668241.7992055578
110533.99824518619,319897.5395042893
146577.507751835,223588.40970182762
147606.19273361118,544721.5241929828
109775.35300387829,406184.82606632716
135154.23860752425,877871.4471936573
141801.5505128229,254686.76959448177
138290.85792686275,565860.8345376578
211732.47217903403,473197.0553583502
113559.30465750347,610288.362049355
127053.87866624288,551248.8086347624
113378.87999984802,196464.2491703983
128371.63990966612,510638.5217923976
100240.1746487526,476959.87273072335
94912.16049479648,2163561.9776495914
